ID,Renta_secc,n,distance,feature_x,feature_y,nearest_x,nearest_y
"01001","14553","1",1879.786922454062278,539945.693847200716846,4741948.882645959034562,539148.200404927367344,4740246.647913803346455
"01002","15624","1",2176.409050236003623,502306.663425582344644,4763642.870954382233322,504230.662819902587216,4764660.211941762827337
01004_AM,"16754","1",2567.712589610062423,493797.445728895836510,4777478.589138450101018,493471.593634205637500,4780025.541897185146809
01009_AM,"16441","1",3147.451719759684238,546467.060711074620485,4747997.339160551317036,549583.703814439824782,4747558.035058061592281
"01010","15648","1",380.776067754637609,493632.646513080690056,4769207.650992133654654,493282.000941481965128,4769059.198653340339661
01017_AM,"15944","1",5487.873724529403262,546217.804761167615652,4727669.154821731150150,545408.848854431533255,4733097.077845995314419
01028_AM,"12357","1",3671.365180600657823,525648.498632450588048,4716536.613103689625859,526562.162304582539946,4712980.753013141453266
"01036","14557","1",761.706862952867255,501828.625757661997341,4776159.850782804191113,502566.316227541887201,4776349.614097799174488
"01043","11774","1",1109.318927254592609,546571.624575768131763,4710398.935778290033340,546595.599603392533027,4709289.875960058532655
01047_AM,"15088","1",6104.447232551586239,493920.457848510704935,4741505.530655120499432,489517.379140946373809,4745733.671370612457395
"01051","13609","1",1792.545183460048065,550064.058353286120109,4743065.103904469870031,550853.188569504185580,4741455.603442649357021
01054_AM,"14859","1",2980.978982900453502,506310.994632836314850,4746425.912386760115623,505277.527177681506146,4749222.013371279463172
01058_AM,"15952","1",2859.898773069724484,531462.860855931532569,4759773.737269330769777,528716.955268916557543,4758974.347815181128681
"0105901","12324","1",115.867217521312554,526599.047505611320958,4744239.939747796393931,526641.061861209105700,4744131.958240027539432
"0105902","14608","1",62.621950719999390,525086.940101762069389,4743273.354254633188248,525024.748348308843561,4743266.026600548066199
"0105903","15517","1",98.151199045627493,528147.520234889932908,4744233.983332466334105,528111.880298595409840,4744325.435247782617807
"0105904","12713","1",162.706959575023745,527516.602464926312678,4742563.082401813939214,527390.541210095630959,4742665.951807978563011
"0105905","14988","1",171.422291617395132,525398.769205346703529,4745862.117198261432350,525242.288116359733976,4745792.122406649403274
